date,totalliabilities,totalshareholderequity,totalassets,cashandcashequivalentsatcarryingvalue,debt_to_equity
2024-12-31,124899000000,88203000000,213396000000,1043000000,1.4160402707390904
2023-12-31,137213000000,89014000000,226501000000,2853000000,1.5414766216550206
2022-12-31,101289000000,95661000000,197206000000,416000000,1.058832753159595
2021-12-31,104014000000,77201000000,181477000000,1944000000,1.3473141539617361
2020-12-31,90756000000,63238000000,154229000000,1784000000,1.435149751731554
2019-12-31,104042000000,63143000000,167488000000,1305000000,1.6477202540265745
2018-12-31,95664000000,63407000000,159422000000,1139000000,1.5087293201066128
2017-12-31,100141000000,71308000000,171797000000,1342000000,1.4043445335726708
2016-12-31,111775000000,59544000000,171615000000,2595000000,1.8771832594383986
2015-12-31,102462000000,64720000000,167460000000,3641000000,1.5831582200247218
2014-12-31,97652000000,71301000000,169274000000,3343000000,1.369574059269856
2013-12-31,95481000000,76307000000,172101000000,2183000000,1.2512744571271313
2012-12-31,104120000000,81260000000,185798000000,10389000000,1.2813192222495693
2011-12-31,105381000000,82190000000,188002000000,3539000000,1.2821632802044045
2010-12-31,106749000000,87813000000,195014000000,1735000000,1.2156400532950702
2009-12-31,122503000000,90014000000,212949000000,1978000000,1.3609327437954095
2008-12-31,53408000000,57556000000,111148000000,2122000000,0.9279310584474251
2007-12-31,50144000000,65010000000,115268000000,3406000000,0.7713274880787571
2006-12-31,43479000000,71358000000,114837000000,1827000000,0.6093079963003447
2005-12-31,51938000000,65627000000,117565000000,2247000000,0.7914120712511619
