Ticker,Fold,Model,RMSE,Accuracy,Sharpe
AAPL,1,Technical,0.819558094646174,0.7929515418502202,3.7083721611873988
AAPL,1,Fundamental,0.04595066171509643,0.45374449339207046,-0.5834686056571411
AAPL,1,Sentiment,0.046369114777373946,0.45374449339207046,-0.5834686056571411
AAPL,1,TFMS,0.03954819262065278,0.73568281938326,1.2241797924424636
AAPL,2,Technical,0.5141560075987717,0.7973568281938326,4.716066463103747
AAPL,2,Fundamental,0.03278631967859253,0.42290748898678415,-0.974227571248431
AAPL,2,Sentiment,0.030060276387032438,0.6475770925110133,1.97544722845334
AAPL,2,TFMS,0.03039726627682195,0.7665198237885462,4.349295111877731
AAPL,3,Technical,0.5398295922492765,0.7180616740088106,3.683299324001125
AAPL,3,Fundamental,0.033593246388106304,0.5198237885462555,0.6650489766255433
AAPL,3,Sentiment,0.033375842356338864,0.5198237885462555,0.6650489766255433
AAPL,3,TFMS,0.028914875387843826,0.73568281938326,4.222743154210649
AAPL,4,Technical,0.6301747157829404,0.695906432748538,3.70581239420669
AAPL,4,Fundamental,0.049371563744404906,0.52046783625731,-0.24358478345192652
AAPL,4,Sentiment,0.04956377301985746,0.52046783625731,-0.24358478345192652
AAPL,4,TFMS,0.04043546086980491,0.6900584795321637,3.3606251316017595
JPM,1,Technical,0.5400394796893845,0.6343612334801763,2.7486972799059863
JPM,1,Fundamental,0.04490908674522638,0.5154185022026432,0.7091786826422057
JPM,1,Sentiment,0.0446417328144434,0.4845814977973568,0.28546801232221225
JPM,1,TFMS,0.04459396730070209,0.5374449339207048,1.339266788156494
JPM,2,Technical,0.62227487315972,0.7400881057268722,3.3970260889743873
JPM,2,Fundamental,0.029127488821345294,0.5726872246696035,0.8123991604556048
JPM,2,Sentiment,0.029477557494302996,0.42731277533039647,-0.8123991604556048
JPM,2,TFMS,0.02808542681493975,0.7180616740088106,3.615962801309162
JPM,3,Technical,0.36371162604676427,0.801762114537445,3.5527153430432663
JPM,3,Fundamental,0.031937952611146306,0.6784140969162996,1.7635467043655484
JPM,3,Sentiment,0.031025376208294257,0.6784140969162996,1.7635467043655484
JPM,3,TFMS,0.030154755429929094,0.6696035242290749,3.2349244656139398
JPM,4,Technical,0.48097443230320586,0.8187134502923976,4.719687373823571
JPM,4,Fundamental,0.040360535785091155,0.6549707602339181,0.7888460361830549
JPM,4,Sentiment,0.041303341105719864,0.631578947368421,0.8995939431051804
JPM,4,TFMS,0.0357091997080879,0.8011695906432749,1.8980612483780857
AMZN,1,Technical,0.9258226094931529,0.7048458149779736,3.9862826206821675
AMZN,1,Fundamental,0.07472568029590755,0.5594713656387665,1.005195345899582
AMZN,1,Sentiment,0.07486114581837293,0.5594713656387665,1.005195345899582
AMZN,1,TFMS,0.06716266643387328,0.6696035242290749,4.4000406603419915
AMZN,2,Technical,0.419237603668762,0.748898678414097,3.2484343529669357
AMZN,2,Fundamental,0.04087379232928962,0.6035242290748899,1.2862390072895746
AMZN,2,Sentiment,0.042390476963061,0.3568281938325991,-1.4301845473448407
AMZN,2,TFMS,0.049212881687293396,0.7180616740088106,2.0746407366272765
AMZN,3,Technical,0.38730838167355147,0.7929515418502202,4.33881351230005
AMZN,3,Fundamental,0.03713031690788322,0.5991189427312775,1.231253395620974
AMZN,3,Sentiment,0.03774612115868632,0.5991189427312775,1.231253395620974
AMZN,3,TFMS,0.03661138235524922,0.6828193832599119,3.3166727208704363
AMZN,4,Technical,0.510998571076424,0.7426900584795322,2.951388935588366
AMZN,4,Fundamental,0.045020928969660215,0.5263157894736842,0.3174467783882643
AMZN,4,Sentiment,0.044797001627220334,0.5263157894736842,0.3174467783882643
AMZN,4,TFMS,0.038686722574444436,0.7017543859649122,3.8198756563589487
PFE,1,Technical,0.4849067901504989,0.7312775330396476,4.340343839790885
PFE,1,Fundamental,0.039912068081878034,0.4977973568281938,0.12665605800751667
PFE,1,Sentiment,0.04025690640967633,0.5022026431718062,-0.12665605800751667
PFE,1,TFMS,0.04628213663256426,0.7180616740088106,4.295999422791696
PFE,2,Technical,0.552499098421879,0.7136563876651982,2.8244765078110134
PFE,2,Fundamental,0.030622416668488698,0.5991189427312775,1.9678451010272768
PFE,2,Sentiment,0.032136349384692585,0.3524229074889868,-2.3829207338221448
PFE,2,TFMS,0.03301422030477649,0.6343612334801763,2.7376958657464985
PFE,3,Technical,0.4231976328057187,0.6563876651982379,2.520686476373666
PFE,3,Fundamental,0.044248288163695276,0.5154185022026432,0.09739650110516798
PFE,3,Sentiment,0.0319588729791213,0.5154185022026432,0.09739650110516798
PFE,3,TFMS,0.032516628504049926,0.6035242290748899,2.176565014351257
PFE,4,Technical,0.6151879097848296,0.7953216374269005,5.36752737263138
PFE,4,Fundamental,0.03494139082196105,0.47368421052631576,0.6062832782454977
PFE,4,Sentiment,0.034997682411944925,0.47368421052631576,0.6062832782454977
PFE,4,TFMS,0.026582410186294286,0.7543859649122807,4.1369044129948955
XOM,1,Technical,0.2096959091131317,0.45374449339207046,-0.4370165394941764
XOM,1,Fundamental,0.04896477793574132,0.6387665198237885,1.2320441030950924
XOM,1,Sentiment,0.04855657039973073,0.6387665198237885,1.2320441030950924
XOM,1,TFMS,0.053524949486099795,0.44052863436123346,-1.0514748726516365
XOM,2,Technical,0.5639825701781389,0.7092511013215859,2.8413511853502706
XOM,2,Fundamental,0.03404427493039854,0.4801762114537445,-0.460716501030918
XOM,2,Sentiment,0.035545452162677654,0.4801762114537445,-0.460716501030918
XOM,2,TFMS,0.033480273831369055,0.6651982378854625,2.1224692888408905
XOM,3,Technical,0.69640888715734,0.801762114537445,3.901209088121704
XOM,3,Fundamental,0.031462604838197454,0.4581497797356828,-1.0974414207585867
XOM,3,Sentiment,0.027597579282979616,0.5418502202643172,1.0974414207585867
XOM,3,TFMS,0.02525372388877722,0.7312775330396476,2.5326786274452426
XOM,4,Technical,0.6649242685331922,0.695906432748538,3.137917577575737
XOM,4,Fundamental,0.037717560592340486,0.47953216374269003,-0.4383641749010206
XOM,4,Sentiment,0.03796764519299119,0.47953216374269003,-0.4383641749010206
XOM,4,TFMS,0.03305589864118195,0.672514619883041,2.164464102198437
